Method_Name,Method_Type
isLayoutSizeAtLeast,assertion
isNight,assertion
recreate,builder
setScrimColor,accessor
onDrawerClosed,others
onDrawerOpened,others
addDrawerListener,assertion
getOrientation,accessor
getChildAdapterPosition,accessor
isSeparated,assertion
setDrawable,accessor
addItemDecoration,others
setColor,accessor
closeDrawer,others
onMenuExport,others
setSeparated,accessor
onMenuImport,others
onMenuOrder,others
onMenuLog,others
onMenuLegend,others
setExternal,accessor
onMenuFAQ,others
onDebugInfo,others
onMenuIssue,assertion
onMenuPrivacy,others
setSubtitle,accessor
onMenuAbout,others
onEditAccount,others
onEditIdentity,others
setDrawerIndicatorEnabled,accessor
isDrawerIndicatorEnabled,assertion
onPostCreate,builder
syncState,others
onSetupMore,accessor
isDrawerOpen,assertion
handleExport,others
handleImport,others
handleImportCertificate,others
isPro,assertion
askPassword,others
getIntentExport,accessor
getIntentImport,accessor
putInt,others
getDebugInfo,accessor
getIntentIssue,accessor
getPrivacyUri,accessor
toJSON,others
getNotificationChannel,accessor
getNotificationChannelId,accessor
getImportance,accessor
channelToJSON,others
rule,others
contact,others
certificate,others
isComponentEnabled,assertion
getNotificationChannels,accessor
getId,accessor
contains,others
openOutputStream,others
isVirtual,assertion
nextBytes,others
toCharArray,others
generateSecret,others
init,others
getIV,accessor
flush,others
doFinal,others
getExtension,accessor
handleK9Import,others
setView,accessor
getButton,accessor
setEnabled,accessor
readBuffer,others
readLine,others
endsWith,others
postProgress,others
getJSONArray,accessor
fromJSON,others
getAccount,accessor
deleteNotificationChannel,others
has,others
createNotificationChannelGroup,builder
createNotificationChannel,builder
channelFromJSON,others
getInt,accessor
isXiaomi,assertion
enableComponent,others
optString,others
valueOf,others
upgrade,others
getCause,accessor
onProgress,others
newInstance,others
newPullParser,others
setInput,accessor
getEventType,accessor
getAttributeValue,accessor
next,others
parseInt,others
clear,others
generateCertificate,others
readPemObject,others
getFingerprintSha256,accessor
getEmailAddresses,accessor
openDrawer,others
getEditText,accessor
getActivity,accessor
setOnCheckedChangeListener,accessor
isChecked,assertion
onGmail,others
onOAuth,others
onQuickSetup,accessor
onQuickPop3,others
onViewAccounts,others
onViewIdentities,others
onManageLocalContacts,others
onManageCertificates,others
onImportCertificate,others
setTypeface,accessor
setSelectionListener,accessor
isRaw,assertion
addTextChangedListener,assertion
setOnNavigationItemSelectedListener,accessor
onActionStyle,others
insertImage,others
delete,others
save,others
addKeyPressedListener,assertion
onMenuHelp,others
setChecked,accessor
html,others
onImageSelected,others
fromHtml,others
decodeImage,others
setRaw,accessor
clearComposingText,others
body,others
getSelectionStart,accessor
getSelectionEnd,accessor
hasPrimaryClip,others
getPrimaryClip,accessor
setSelection,accessor
insert,others
getDrawerExpanded,accessor
getDrawerPinned,accessor
canExpandAndPin,others
isSurfaceDuo,assertion
getLayoutParams,accessor
setLayoutParams,accessor
dp2pixels,others
getChildAt,accessor
stop,others
setDrawerLockMode,accessor
setPaddingRelative,accessor
start,others
onDrawerSlide,others
round,others
getDrawerWidth,accessor
setDrawerPinned,accessor
setDrawerExpanded,accessor
setImageLevel,accessor
getMenu,accessor
insertIcons,others
setOnMenuItemClickListener,accessor
getOrder,accessor
setOnLongClickListener,accessor
reload,others
hasFolders,others
setFolders,accessor
fullScroll,others
checkFirst,others
checkBanner,others
checkCrash,others
isLocked,assertion
onMenuOperations,others
onShowLog,others
onMenuAnswers,others
onMenuSetup,accessor
clearCache,others
onMenuTranslate,others
onMenuTest,others
checkUpdate,others
setExtraIcon,accessor
onMenuRate,others
search,others
setWarning,accessor
setCount,accessor
notifyDataSetChanged,accessor
setupDrawer,accessor
state,others
checkIntent,others
onSharedPreferenceChanged,others
setExpanded,accessor
getDrawerWidthPinned,accessor
complexToDimensionPixelSize,others
min,others
undo,others
getChildCount,accessor
dismiss,assertion
addCallback,others
getView,accessor
hasValidFingerprint,others
openConnection,others
setRequestMethod,accessor
setReadTimeout,accessor
setConnectTimeout,accessor
setDoOutput,accessor
setRequestProperty,accessor
getUserAgent,accessor
getErrorStream,accessor
isNull,assertion
getJSONObject,accessor
parseDouble,others
disconnect,assertion
setSmallIcon,accessor
setContentIntent,accessor
notify,others
onMenuFolders,others
onViewMessages,others
onMenuOutbox,others
ignore,others
onViewThread,others
sendBroadcast,others
onNewMessage,others
onViewFolders,others
onSearchAddress,others
onEditFolder,others
onEditAnswers,others
onEditAnswer,others
onEditRules,others
onEditRule,others
isShown,assertion
setMessage,accessor
getIntentRate,accessor
with,others
getSelectedItem,accessor
getColor,accessor
setDropDownViewResource,accessor
addAll,others
setBackgroundResource,accessor
setBackgroundColor,accessor
calculateLuminance,others
setColorFilter,accessor
setTextColor,accessor
getDisplayName,accessor
