Method_Name,Method_Type
getClosestContainerScope,accessor
isNonArrowFunction,assertion
getSlot,accessor
strengthOf,others
getStaticSourceFile,accessor
thisVar,assertion
getParentNode,accessor
isFunctionExpression,assertion
isLocal,assertion
isExtern,assertion
isDeclaredConstantVar,assertion
isInferredConstantVar,assertion
getBooleanProp,accessor
getJSDocInfo,accessor
isDefine,assertion
getRValueOfLValue,accessor
getBestJSDocInfo,accessor
declarationType,others
isDefaultValue,assertion
getFirstChild,accessor
isImplicit,assertion
isImplicitGoogNamespace,assertion
immutableEnumSet,accessor
getToken,accessor
strongerOf,others
getKind,accessor
getErrorCode,accessor
getFormattedError,accessor
getVisibility,accessor
getJSType,accessor
isLiteralObject,assertion
getString,accessor
getDefiningSource,accessor
isAssign,assertion
getObjectType,accessor
getOverriddenPropertyVisibility,accessor
getEffectiveVisibilityForOverriddenProperty,accessor
getEffectiveVisibilityForNonOverriddenProperty,accessor
getPropertyDefSite,accessor
getImplicitPrototype,accessor
getOwnPropertyJSDocInfo,accessor
getOrDefault,accessor
createCompilerOptions,builder
setOptionsForCompilationLevel,accessor
setTypeBasedOptimizationOptions,accessor
setLanguageIn,accessor
setLanguageOut,accessor
setRewritePolyfills,accessor
setPrettyPrint,accessor
addObject,others
test,others
lines,others
assertThat,assertion
getInjected,accessor
setGeneratePseudoNames,accessor
addAsyncIterable,others
setLanguage,accessor
addConsole,others
setDisambiguateProperties,accessor
setPreserveTypeAnnotations,accessor
addBigInt,others
testSame,others
setPropertyRenaming,accessor
setVariableRenaming,accessor
setEmitUseStrict,accessor
addExtra,others
getClosureExternsAsSource,accessor
compile,others
setCheckTypes,accessor
setGenerateExports,accessor
setExportLocalPropertyDefinitions,accessor
setCheckSymbols,accessor
setRemoveUnusedClassProperties,accessor
setRenamingPolicy,accessor
setStrictModeInput,accessor
setAssumeStrictThis,accessor
addAlert,others
setDevMode,accessor
setOptionsForWarningLevel,accessor
shouldInlineProperties,others
shouldCollapseProperties,others
testES6UnusedClassesAreRemoved,others
getErrors,accessor
testES6StaticsAreRemoved,others
setAmbiguateProperties,accessor
setPropertiesThatMustDisambiguate,accessor
addFunction,others
setAngularPass,accessor
assertWithMessage,assertion
getWarnings,accessor
getAngularPropertyReservedFirstChars,accessor
getNext,accessor
assertNode,assertion
getFirstFirstChild,accessor
addMath,others
setRenamePrefixNamespaceAssumeCrossChunkNames,accessor
setAssumeGettersArePure,accessor
addArray,others
setIsolatePolyfills,accessor
setForceLibraryInjection,accessor
setUp,accessor
enableNormalize,others
testWarning,others
disableCompareJsDoc,assertion
externs,others
srcs,others
expected,others
getLastCompiler,accessor
getNameForest,accessor
inExterns,others
getFullName,accessor
getAliasingGets,accessor
getSubclassingGets,accessor
getLocalSets,accessor
getGlobalSets,accessor
getDeleteProps,accessor
getCallGets,accessor
canCollapseOrInline,others
canCollapseOrInlineChildNames,others
getLogger,accessor
fine,others
traverse,others
replaceStringsWithAliases,others
addAliasDeclarationNodes,others
outputStringUsage,others
isProtectedMessage,assertion
isStringLit,assertion
isRegExp,assertion
getOrCreateStringInfo,accessor
getChunk,accessor
getDeepestCommonDependencyInclusive,accessor
shouldReplaceWithAlias,others
replaceStringWithAliasName,others
getVariableName,accessor
var,others
name,others
string,others
srcrefTree,others
addChildToFront,others
insertBefore,others
replaceWith,others
encodeStringAsIdentifier,others
toHexString,others
forBush,others
forStar,others
normalizeAllowlist,assertion
trim,others
matcher,others
getDefaultLevel,accessor
containWarning,others
formatWarning,others
loadAllowlistedJsWarnings,assertion
asCharSource,others
openStream,others
readLines,others
getSourceName,accessor
getLineNumber,accessor
splitToList,assertion
getDescription,accessor
appendAllowlist,assertion
keySet,accessor
matches,others
eagerlyResolveToSelf,others
caseAllType,others
identityHashCode,others
compareTo,others
createFactory,builder
getAllKnownTypes,accessor
getSubtypeIndices,accessor
getIndex,accessor
newReverseTraversal,accessor
or,others
color,others
generateNextName,others
getNodes,accessor
getAnnotation,accessor
setString,accessor
update,others
isLoggable,assertion
setAnnotation,accessor
intersects,others
processGetProp,accessor
processCall,others
isNameDeclaration,assertion
isFunction,assertion
createNode,builder
getColor,accessor
processObjectLitOrPattern,others
processGetElem,accessor
processClass,others
maybeMarkCandidate,others
isLhsOfAssign,assertion
isStatement,assertion
isQualifiedName,assertion
getSecondChild,accessor
getProperty,accessor
isObjectDefinePropertiesDefinition,assertion
isObjectLit,assertion
processObjectProperty,others
isObjectPattern,assertion
isQuotedString,assertion
toStringTree,others
getLastChild,accessor
getPrototypes,accessor
createUnion,builder
getClassMembers,accessor
isComputedProp,assertion
isComputedFieldDef,assertion
isEs6ConstructorMemberFunctionDef,assertion
isStaticMember,assertion
isMemberFieldDef,assertion
getInstanceColors,accessor
isMemberFunctionDef,assertion
isGetterDef,accessor
isSetterDef,accessor
recordProperty,others
addRelatedColor,others
isInvalidating,assertion
getPropertiesKeepOriginalName,accessor
enableTypeCheck,others
replaceTypesWithColors,others
enableGatherExternProperties,others
makePassForTesting,builder
getGatheredExternProperties,accessor
process,others
enableClosurePass,others
replaceAll,others
ignoreWarnings,others
getRenamingMap,accessor
enableRewriteClosureProvides,others
addClosureExterns,others
createWithoutAnnotations,builder
getChunkCount,accessor
getRootChunk,accessor
markReference,others
getNameInfoForName,accessor
connect,others
newTraversal,others
computeFixedPoint,others
getCurrentNode,accessor
getPrototypePropertyNameFromRValue,accessor
push,others
isGlobalFunctionDeclaration,assertion
isName,assertion
inGlobalScope,others
isModuleBody,assertion
pop,others
processNonFunctionPrototypeAssign,others
isMethodDeclaration,assertion
addSymbolUse,others
handlePossibleAssignmentToPrototype,others
addGlobalUseOfSymbol,others
getBestLValueName,accessor
getBestLValue,accessor
processMemberDef,others
getInitialValue,accessor
inGlobalHoistScope,assertion
processGlobalFunctionDeclaration,others
isAssignRValue,assertion
getScopeRoot,accessor
isFunctionDeclaration,assertion
mayBeObjectLitKey,others
isExprAssign,assertion
getGrandparent,accessor
lastIndexOf,others
getRootOfQualifiedName,accessor
isNameDeclOrSimpleAssignLhs,assertion
maybeGetVar,accessor
getNameNode,accessor
isGetProp,accessor
isReferenced,assertion
getDeepestCommonModuleRef,accessor
dependsOn,others
getOnlyChild,accessor
getAssignNode,accessor
getFunctionNode,accessor
createDependenciesList,builder
arraylit,others
exprResult,others
assign,others
getelem,accessor
newQName,others
setOriginalName,accessor
recordVisibility,assertion
getTarget,accessor
isExprCall,assertion
insertAfter,others
getFunctionParameters,accessor
createStringsFromParamList,builder
isDestructuringPattern,assertion
isNgInject,assertion
addNode,others
getDeclarationRValue,accessor
isClassMembers,assertion
isStatementBlock,assertion
testError,others
enableRewriteClosureCode,others
log,others
getErrorCount,accessor
getWarningCount,accessor
getTypedPercent,accessor
getReplacements,accessor
applySuggestedFixesToCode,others
asCharSink,others
stream,others
getAlternatives,accessor
isEqual,assertion
range,others
applySuggestedFixChoicesToCode,others
toImmutableList,assertion
putIfNoOverlap,others
applyCodeReplacements,others
containsOverlaps,others
getStartPosition,accessor
getNewContent,accessor
getEndPosition,accessor
canPut,others
naturalOrder,others
asMap,others
fail,others
assertEquals,assertion
getCompiler,accessor
compileToScriptRoot,others
delete,others
getOnlyElement,accessor
rename,others
getCompilerOptions,accessor
createParametersWithVarArgs,builder
getNativeType,accessor
getResolver,accessor
safeResolve,others
isUnknownType,assertion
hasAnyTemplateTypes,others
hasTemplatedParameterType,others
assertSame,assertion
assertValidResolve,assertion
types,others
verifyHasEncounteredAllWarningsAndErrors,others
assertType,assertion
assertTrue,assertion
isSubtypeOf,assertion
