Method_Name,Method_Type
runOnce,others
skipPendingAndFutureAsyncFetches,others
rangeClosed,others
hit,others
miss,assertion
skip,others
min,others
sendBatch,others
logMultiple,others
log,others
getUploadedBatches,accessor
hasSize,others
forceFlush,others
getNodesWithNoIncomingEdges,accessor
getOutgoingNodesFor,accessor
addNode,others
addEdge,others
subList,assertion
remove,others
onComplete,others
start,others
createNode,builder
getDeps,accessor
filter,others
parseInt,others
compareTo,others
getEventKey,accessor
getEventName,accessor
getValueString,accessor
isRelatedTo,assertion
hash,others
getSimpleName,accessor
getSelection,accessor
getBuckTargetLocator,accessor
findBuckFileForVirtualFile,others
isDefault,assertion
getProject,accessor
getBuckCellManager,accessor
findCellByVirtualFile,others
flatMap,others
findCellByName,others
findTargetPatternForVirtualFile,accessor
findRelativePath,others
isDebug,assertion
setIcon,accessor
setText,accessor
truncateName,others
setEnabledAndVisible,accessor
getContainingFile,accessor
getQualifiedName,accessor
createTestConfigurationFromContext,builder
getInstance,accessor
getConfigurationFactories,accessor
createRunConfiguration,builder
getConfiguration,accessor
addConfiguration,others
command,others
runInCurrentThreadPostEnd,others
getAndSet,accessor
setSelectedConfiguration,accessor
getDebugExecutorInstance,accessor
executeConfiguration,others
createProjectFilesystem,builder
getRoot,accessor
mkdirs,others
createNewFile,builder
key,others
rootCell,others
getPackageRoots,accessor
expectCause,others
instanceOf,others
createSymLink,builder
anyOf,others
assumeFalse,others
isWindows,assertion
assumeTrue,others
isBuildFileCaseSensitive,builder
assumeNamesAreCaseInsensitive,others
assumeNamesAreCaseSensitive,others
assumeStarIsAllowedInNames,assertion
assumeQuestionIsAllowedInNames,assertion
getComputationStages,accessor
compute,others
detect,others
checkArgument,others
getBuckPaths,accessor
getCell,accessor
computeHashCode,others
setField,accessor
getDeclaredField,accessor
setAccessible,accessor
isAnonymousClass,assertion
getSuperclass,accessor
to,others
getFullyQualifiedName,accessor
getBuildDeps,accessor
getRuleOptional,accessor
isInstance,assertion
cast,others
toStringWithConfiguration,others
unresolvableRuleException,others
getRuleOptionalWithType,accessor
getDeclaredDeps,accessor
getExtraDeps,accessor
getTargetGraphOnlyDeps,accessor
orderedBy,others
comparator,others
getCellPathsByRootCellExternalName,accessor
getCellPathOrThrow,accessor
getCellPath,accessor
getNewCellPathResolver,accessor
getCellName,accessor
getFileSystem,accessor
compareAndSet,accessor
accept,others
close,others
saveConfigOptionInOverrides,others
getParser,accessor
getCause,accessor
printShortDescription,others
getPluginManager,accessor
println,others
printUsage,others
isGlobalOption,assertion
getConsole,accessor
getBuckConfig,accessor
getBuckEventBus,accessor
prepareExecutionContext,others
prepareBazelProfiler,others
runWithoutHelp,others
newOutputStream,others
instance,others
now,others
nameUUIDFromBytes,others
nanoTime,others
createExecutionContext,builder
printWarning,others
warning,others
parse,others
getUnconfiguredBuildTarget,accessor
getUnconfiguredBuildTargetViewWithOutputs,accessor
defaultLabel,others
getExecutionContextBuilder,accessor
getView,accessor
getPlatform,accessor
getEnvironment,accessor
getJavaPackageFinder,accessor
getExecutors,accessor
getCells,accessor
getDefaultTestTimeoutMillis,accessor
isInclNoLocationClassesEnabled,assertion
getConcurrencyLimit,accessor
getPersistentWorkerPools,accessor
getProjectFilesystemFactory,accessor
getEnableFailingCommandTruncation,accessor
getVersionedTargetGraphCache,accessor
getDepsAwareExecutorSupplier,accessor
getTypeCoercerFactory,accessor
getUnconfiguredBuildTargetFactory,accessor
getTargetConfiguration,accessor
getDefaultRuleKeyFactoryCacheRecycler,accessor
withRecycledCache,others
getCommandLineBuildTargetNormalizer,accessor
getClientWorkingDir,accessor
configure,others
getFirst,accessor
lastIndexOf,others
getSecond,accessor
split,others
parseConfigFile,others
debug,others
ifPresent,others
parseConfigFileOption,others
parseConfigOption,others
valueOf,others
addCommandSpecificConfigOverrides,others
getEnableParserProfiling,accessor
getExcludeIncompatibleTargets,accessor
validateTarget,accessor
getIntegerInstance,accessor
applyPattern,others
getAnsi,accessor
register,assertion
displaysEstimatedProgress,assertion
setProgressEstimator,accessor
post,others
createForMessageWithAnsiEscapeCodes,builder
asInformationText,others
getStartTime,accessor
getEndTime,accessor
isComplete,assertion
proxy,others
isOngoing,assertion
toUpperCase,others
getTimestampMillis,accessor
logEventInterval,others
haveUploadsStarted,others
haveUploadsFinished,assertion
renderRemoteUploads,others
addLineFromEventInterval,others
getStartAndFinish,accessor
getStart,accessor
getFinish,accessor
formatElapsedTime,others
getProgress,accessor
round,others
getNumber,accessor
getTotalCompletedTimeFromEventIntervals,accessor
getWorkingTimeFromLastStartUntilNow,accessor
convertToAllCapsIfNeeded,others
getAsLong,accessor
getElapsedTimeMs,accessor
open,others
asRanges,others
upperEndpoint,others
lowerEndpoint,others
formatConsoleEvent,others
setCurrentCommand,accessor
getCommandName,accessor
getArgs,accessor
withStart,others
finish,assertion
withFinish,assertion
aggregateStartedEvent,others
aggregateFinishedEvent,assertion
getNumRules,accessor
setNumberOfRules,accessor
getAsInt,accessor
getCacheRateStats,accessor
getUpdatedRulesCount,accessor
join,others
getRemoteDownloadStats,accessor
getBytes,accessor
getHumanReadableSize,accessor
getArtifacts,accessor
toHumanReadableString,others
getCacheMissRate,accessor
getCacheErrorCount,accessor
getCacheErrorRate,accessor
didStartBuildRule,builder
didResumeBuildRule,builder
didSuspendBuildRule,builder
getBuildRule,accessor
getDuration,accessor
getAndIncrement,accessor
didFinishBuildRule,builder
didStartTestRule,others
didFinishTestRule,assertion
getRemoteArtifactUploadStats,accessor
getTotalBytes,accessor
getScheduled,accessor
getUploaded,accessor
getFailed,accessor
getStarted,accessor
limit,others
logTopSlowBuildRulesIfNotLogged,builder
lineSeparator,others
doNotCare,others
createNullConsole,builder
getSystemEnv,accessor
getProperties,accessor
getEventsBetween,accessor
getSubcommand,accessor
getContainerCommandPrefix,accessor
getSubcommandsFieldName,accessor
value,others
name,others
impl,others
printf,others
repeat,others
getShortDescription,accessor
loopForever,others
cancel,others
shutdownNow,others
compareAndSetStatus,accessor
getResultFuture,accessor
offer,others
runWorker,others
getDepsSupplier,accessor
complete,others
getCallable,accessor
completeExceptionally,others
currentThread,others
loopOnce,others
takeTask,others
eval,others
getFuture,accessor
isCompletedExceptionally,assertion
getShortName,accessor
getDescription,accessor
getContainer,accessor
newSingleThreadExecutor,others
newBufferedWriter,others
writeLine,others
write,others
newLine,others
flush,others
warn,others
shutdownExecutorService,others
closeWriter,others
shutdown,others
awaitTermination,others
getFixScript,accessor
getFixScriptContact,accessor
getInterpolatedFixScript,accessor
getInterpolatedFixScriptMessage,accessor
shouldPrintFixScriptMessage,others
stripSuffix,others
getRemote,accessor
shouldUseRemoteExecutionForGenruleIfRequested,others
getGenruleType,accessor
getSrcs,accessor
getEnableSandbox,accessor
getCacheable,accessor
getEnvironmentExpansionSeparator,accessor
getAndroidToolsOptional,accessor
canExecuteRemotely,others
isNeedAndroidTools,assertion
getAndroidTools,accessor
getActionGraphBuilder,accessor
getMacroHandler,accessor
getTargetGraph,accessor
getCellPathResolver,accessor
getMacros,accessor
fromStringWithMacros,others
getCmd,accessor
getBash,accessor
getCmdExe,accessor
createBuildRule,builder
withExtraDeps,others
concat,others
addParseTimeDepsToAndroidTools,accessor
getExecutionArgsAndCommand,accessor
getScriptFilePath,accessor
getScriptFileContents,accessor
prepareForRun,others
execute,others
getUnchecked,accessor
enhanceCommandLine,others
getCommandLine,accessor
enhanceCommandLineForDescription,others
addEnvironmentVariables,others
getExpandedCommandAndExecutionArgs,accessor
getEnvironmentVariables,accessor
propagateIfPossible,others
getCommandAndExecutionArgs,accessor
replace,others
orElse,others
getTargetWithOutputs,accessor
getOutputLabel,accessor
resolveArgWithBracketSyntax,others
internals,others
getOnlyElement,accessor
hasElementClass,others
coerceBoth,others
expandFrom,others
createPluginManager,builder
environmentSupportsAnsiEscapes,others
getKnownRuleTypesFactory,accessor
getBuildId,accessor
randomUUID,others
checkNotNull,others
ofLeft,others
ofRight,others
throwIfInstanceOf,others
throwIfUnchecked,others
isLeft,assertion
getLeft,accessor
getRight,accessor
getCacheName,accessor
getCacheMode,accessor
getHttpWriteExecutorService,accessor
getHttpFetchExecutorService,accessor
getTargetConfigurationSerializer,accessor
getMaxStoreSizeBytes,accessor
getRepository,accessor
getScheduleType,accessor
getFetchClient,accessor
getStoreClient,accessor
isNoHealthyServersException,assertion
newFetchStartedEvent,others
newFinishedEventBuilder,builder
getFetchBuilder,accessor
setTarget,accessor
getAssociatedRuleKeys,accessor
getArtifactContentHash,accessor
getArtifactSizeBytes,accessor
getResponseSizeBytes,accessor
reportFetchFailure,others
newMultiFetchStartedEvent,others
reportFailureToEventBus,others
reportFailure,others
newStoreScheduledEvent,others
getMetadata,accessor
fromArtifactInfo,others
newStoreStartedEvent,others
getStoreBuilder,accessor
getRequestSizeBytes,accessor
getWasStoreSuccessful,accessor
newConcurrentMap,others
getErrorTextTemplate,accessor
getErrorTextLimit,accessor
getOrDefault,accessor
replaceAll,others
quoteReplacement,others
testStoreCall,others
getCellNameResolver,accessor
writeBytesToPath,others
store,others
notBorrowablePath,others
makeArgBuilder,builder
getConstructorArgType,accessor
getMethod,accessor
createBuildRuleParams,builder
getPopulatedArg,accessor
withDepsQuery,others
withProvidedDepsQuery,others
withModuleBlacklistQuery,assertion
createRegistry,builder
createFromObject,builder
root,others
getDepsFromArg,accessor
getAllRules,accessor
findDepsForTargetFromConstructorArgs,accessor
sourcePathToArgPath,others
getHint,accessor
isDep,assertion
isTargetGraphOnlyDep,accessor
isInput,assertion
isConfigurable,assertion
splitConfiguration,others
execConfiguration,others
getOutputType,accessor
traverseHelper,others
setCoercedValue,accessor
getBuildFileManifest,accessor
getAllTargetNodes,accessor
getTargetNodeAssertCompatible,accessor
getTargetNodeJobAssertCompatible,accessor
getTargetNodeRawAttributes,accessor
buildTargetGraph,accessor
getTargetNode,accessor
assertTargetIsCompatible,accessor
getTotalDeps,accessor
child,others
createReadableExceptionWithWhenSuffix,builder
getDependencyStack,accessor
putCheckEquals,others
addTarget,accessor
isFlavored,assertion
withoutFlavors,others
getParseDeps,accessor
propagateRuntimeCause,others
ofNullable,others
buildTargetGraphForTargetNodeSpecs,accessor
collectBuildTargetsFromTargetNodeSpecs,accessor
prepareTest,others
createStarted,builder
elapsed,others
gc,others
reset,accessor
runPerfTest,others
addValue,others
stop,others
getComputationName,accessor
getN,accessor
getMean,accessor
getConfidenceIntervalOffset,accessor
createParsingContext,builder
getListeningExecutorService,accessor
toVersionedTargetGraph,accessor
initializeFromDisk,assertion
requireAllRules,others
getRuntimeDeps,accessor
createOsRootDirectoriesCaches,builder
createHashFakingFilesystem,builder
getFilesystem,accessor
createBuckOutFileHashCache,builder
createDefaultFileHashCache,builder
sha1,others
getBlacklistedPaths,accessor
fromHashCode,others
newHasher,others
getWindowsFSInstance,accessor
outputAttributes,others
runSingleQuery,others
normalizePattern,others
getPrintStreamWrapper,accessor
runMultipleQuery,others
whichQueryCommand,others
collectTargetPatterns,accessor
preloadTargetPatterns,accessor
evaluateQuery,others
putAll,others
collectAndPrintAttributesAsJson,others
asMap,others
printJsonOutput,others
print,others
needToSortByRank,others
printRankOutput,others
asQueryBuildTargets,accessor
printDotOutput,others
printJsonOutputConfiguredOrUnconfigured,others
printThriftOutput,others
printListOutput,assertion
printJsonUnconfiguredOutput,others
shouldOutputAttributes,others
merge,others
getNodesFromQueryTargets,accessor
getRuleType,accessor
getNodeToAttributeFunction,accessor
setNodeToAttributes,accessor
getAttributes,accessor
top,others
getAttributesWithRankMetadata,accessor
printAttributesAsJson,others
computeRanksByTarget,accessor
printRankOutputAsPlainText,others
toPresentationForm,others
nodeToAttributesFunction,others
writeOutput,others
getNode,accessor
getParserState,accessor
getRootCell,accessor
getTargets,accessor
getElements,accessor
getDictionary,accessor
getNoMatchError,accessor
getAllUnconfiguredAttributesForTarget,accessor
isMatchesNone,assertion
matches,others
resolveUnconfiguredAttribute,others
resolveAllUnconfiguredAttributesForTarget,accessor
group,others
toMap,others
comparingInt,others
test,others
collectAttributes,others
with,others
withArrayIndenter,others
queryResultToTargetNodes,accessor
getAnyNode,accessor
updateWithComputedAttributes,others
getRepresentation,accessor
getTargetConfigurations,accessor
joining,others
append,others
getAuditDependenciesQueryFormat,accessor
getEscapedArgumentsListAsString,accessor
getJsonOutputParamDeclaration,accessor
generateStats,others
getCurrentRevisionId,accessor
getBaseBookmarks,accessor
getBranchedFromMasterRevisionId,accessor
getBranchedFromMasterTS,accessor
getDiff,accessor
getPathsChangedInWorkingDirectory,accessor
promptForBuildSelection,builder
getUserReport,accessor
getSourceControlInfo,accessor
printErrorText,others
getFileChangesIgnoredReport,accessor
isNoBuckCheckPresent,assertion
getLocalConfigs,accessor
getConfigOverrides,accessor
addIfPresent,others
getRuleKeyLoggerLogFile,accessor
getMachineReadableLogFile,accessor
getRuleKeyDiagKeysFile,accessor
getRuleKeyDiagGraphFile,accessor
getConfigJsonFile,accessor
getLocalConfigsContents,accessor
getTracePathsOfBuilds,accessor
getWatchmanDiagReport,accessor
submitReport,others
asList,assertion
getCommandArgs,accessor
getDefaultConfigurationFiles,accessor
getMainConfigurationFile,accessor
getSize,accessor
getTraceFile,accessor
getPathForRelativeExistingPath,accessor
getReportMaxSizeBytes,accessor
confirm,others
keyScope,others
setReflectively,accessor
pathKeyScope,others
setSourcePath,accessor
setAddsToRuleKey,accessor
setAction,accessor
setBuildRule,accessor
wrapperScope,others
containerScope,others
elementScope,others
setNonHashingSourcePath,accessor
setSingleValue,accessor
getSelectors,accessor
resolveSelector,others
getConditions,accessor
handleSelector,others
getNullConditions,accessor
isReserved,assertion
getSelectable,accessor
updateConditions,others
refines,others
hasDefaultCondition,others
getNoMatchMessage,accessor
loadInclude,others
fromConfiguration,others
getPackageImplicitIncludes,accessor
findIncludeForBuildFile,builder
loadExtension,others
getExtension,accessor
createForUnknownParseError,builder
getBasePath,accessor
createContainingLabel,builder
loadImplicitExtension,others
parseFile,others
getGlobber,accessor
createPackageContext,builder
getLoadedSymbols,accessor
createBuildFileEvaluationEnvironment,builder
getExtensionData,accessor
checkBuildSyntax,builder
getStatements,accessor
exec,others
getLoadedPaths,accessor
getParseResult,accessor
parseSkylarkFile,others
getFileKind,accessor
containsErrors,others
loadExtensions,others
getImports,accessor
toImportMap,others
getBuckBuildFileContextGlobals,accessor
setPhase,accessor
toLoadedPaths,others
getRawConfig,accessor
createFromValidStrippedName,builder
createUnvalidated,builder
getLoadTransitiveClosure,accessor
readContent,others
asFragment,others
parseBuildFile,builder
getIfPresent,accessor
readSkylarkAST,others
getLabel,accessor
getImportPath,accessor
getImport,accessor
getContainingLabel,accessor
loadIncludes,others
toIncludedPaths,others
propagateRootCause,others
getRootCause,accessor
getImportString,accessor
haveAST,others
lookupExtensionForImport,others
withImportString,others
setAST,accessor
getParentLabel,accessor
getAST,accessor
addDependency,others
push,others
getDependenciesExtensionData,accessor
getDependencies,accessor
getBuckLoadContextGlobals,accessor
setImportedExtensions,accessor
setSemantics,accessor
getKnownUserDefinedRuleTypes,accessor
execTopLevelStatement,others
kind,others
ensureExportedIfExportable,others
getSkylarkImport,accessor
boundIdentifiers,others
getLHS,accessor
moduleLookup,others
isExported,assertion
getGlobals,accessor
export,others
peek,others
pop,others
maybeLoadAST,others
processExtensionDependencies,others
removeFirst,others
buildExtensionData,builder
isRelativeLoad,assertion
toPathFragment,others
getPackageIdentifier,accessor
isMain,assertion
getProjectRoot,accessor
getCellRoots,accessor
getParseContext,accessor
getPackageContext,accessor
recordReadConfigurationOption,others
getBuildTargetSourcePathFilesystem,accessor
getArchiveSourcePath,accessor
getPathPrivateImpl,accessor
getResolvedPath,accessor
getDelegate,accessor
resolveDefaultBuildTargetSourcePath,accessor
getPathsPrivateImpl,accessor
getSourcePathNames,accessor
getSourcePathName,accessor
addPathToRelativePathMap,others
getFilesUnderPath,accessor
addToRelativePathMap,others
map,others
getProcessExecutor,accessor
launchAndExecute,others
isTimedOut,assertion
writeInt,others
getExitCode,accessor
toStringHelper,others
visitSet,accessor
