Method_Name,Method_Type
getElementsByClass,accessor
eachText,others
getProvincesList,accessor
getProjectDir,accessor
jsonWriter,others
endsWith,accessor
getProIndex,accessor
setCode,accessor
setCityList,accessor
getPre4CodeList,accessor
isContainer,assertion
getCode,accessor
setAreaList,accessor
iterator,others
hasNext,others
next,others
maxBodySize,others
setShowText,accessor
runOnUiThread,others
postDelayed,others
cancel,others
getAssets,accessor
open,others
readLine,others
clearDim,others
applyDim,others
getRootView,accessor
getWindow,accessor
setAlpha,accessor
getOverlay,accessor
getDecorView,accessor
recycleView,others
removeViewAt,others
getCachedView,accessor
isCyclic,assertion
addView,others
getViewAdapter,accessor
setIsLongpressEnabled,accessor
forceFinished,accessor
startScroll,others
setNextMessage,accessor
startScrolling,others
clearMessages,others
onScroll,others
justify,others
fling,others
sendEmptyMessage,others
removeMessages,others
computeScrollOffset,accessor
getCurrY,accessor
getFinalY,accessor
isFinished,assertion
finishScrolling,assertion
onJustify,others
onStarted,others
onFinished,assertion
notifyScrollingListenersAboutStart,assertion
doScroll,others
stopScrolling,others
notifyScrollingListenersAboutEnd,assertion
scroll,others
invalidateWheel,others
unregisterDataSetObserver,accessor
registerDataSetObserver,accessor
onScrollingStarted,others
onScrollingFinished,assertion
onItemClicked,others
min,others
max,others
notifyChangingListeners,assertion
clearAll,others
removeAllViews,others
recycleItems,others
getSuggestedMinimumHeight,accessor
initResourcesIfNecessary,others
measure,others
makeMeasureSpec,builder
getSuggestedMinimumWidth,accessor
getMode,accessor
getSize,accessor
buildViewForMeasuring,accessor
calculateLayoutWidth,others
getDesiredHeight,accessor
setMeasuredDimension,accessor
layout,others
updateView,others
drawItems,others
drawCenterRect,others
getItemHeight,accessor
save,others
translate,others
restore,others
getLineColorStr,accessor
getLineWidth,accessor
setStrokeWidth,accessor
drawLine,others
isEnabled,assertion
isValidItemIndex,assertion
notifyClickListenersAboutClick,assertion
asin,others
getItemsRange,accessor
createItemsLayout,builder
addViewItem,others
rebuildItems,builder
setOrientation,accessor
getItemView,accessor
getEmptyItem,accessor
getResources,accessor
