Method_Name,Method_Type
createWithResource,accessor
setData,accessor
resourceToUri,others
getFullConversation,accessor
getResourcePackageName,accessor
getResourceTypeName,accessor
getResourceEntryName,accessor
setIcon,accessor
setKey,accessor
getIntExtra,accessor
setDocumentCounterText,accessor
onNewIntent,others
finishAndRemoveTask,assertion
valueOf,accessor
getChannelName,accessor
getChannelDescription,accessor
getChannelImportance,accessor
isChannelEnableVibrate,assertion
setDescription,accessor
enableVibration,others
setLockscreenVisibility,accessor
createNotificationChannel,builder
getProperty,accessor
compile,others
matcher,others
find,others
start,others
end,others
substring,others
addAll,others
findElements,others
getEndOfParagraph,accessor
emptyList,assertion
indexOf,others
onStart,others
initializeLogging,others
assertTrue,assertion
getZ,accessor
getFragments,accessor
abs,others
setScaleX,accessor
setScaleY,accessor
setPreferencesFromResource,accessor
findPreference,others
setOnPreferenceChangeListener,accessor
getAsBoolean,accessor
showToast,others
getDynamicShortcuts,accessor
isImmutable,assertion
getPinnedShortcuts,accessor
getLong,accessor
setSiteInformation,accessor
getData,accessor
callShortcutManager,others
updateShortcuts,others
setIntent,accessor
setShortLabel,accessor
getHost,accessor
setLongLabel,accessor
fetchFavicon,others
createWithBitmap,accessor
putLong,others
startsWith,accessor
createShortcutForUrl,accessor
normalizeUrl,others
addDynamicShortcuts,others
asList,assertion
removeDynamicShortcuts,others
disableShortcuts,assertion
enableShortcuts,others
buildUpon,builder
openConnection,others
connect,others
getInputStream,accessor
decodeStream,others
path,others
getLayoutInflater,accessor
getRoot,accessor
getOrCreate,accessor
addWindowLayoutInfoListener,assertion
onStop,others
removeWindowLayoutInfoListener,assertion
updateWindowLayout,others
attachAmbientSupport,others
setEdgeItemsCenteringEnabled,accessor
setLayoutManager,accessor
setHasFixedSize,accessor
setAdapter,accessor
areNotificationsEnabled,others
openNotificationSettingsForApp,accessor
generateBigTextStyleNotification,others
generateBigPictureStyleNotification,others
generateInboxStyleNotification,others
generateMessagingStyleNotification,others
finish,assertion
getInboxStyleData,accessor
getIndividualEmailSummary,accessor
addLine,others
getNumberOfNewEmails,accessor
getApplicationInfo,accessor
onEnterAmbient,others
onExitAmbient,others
make,builder
setDefaultNightMode,accessor
post,others
makeText,builder
getMainLooper,accessor
