Method_Name,Method_Type
getOwnImplicitSlot,accessor
getVar,accessor
getOwnSlot,accessor
isFunctionBlockScope,assertion
isBleedingFunctionName,assertion
isFunction,assertion
getVarIterable,accessor
putIfAbsent,others
unmodifiableCollection,others
createsBlockScope,builder
isFunctionBlock,assertion
getRootNode,accessor
isModuleBody,assertion
isBlock,assertion
hasOneChild,others
isCatch,assertion
isFunctionScope,assertion
isGlobal,assertion
isModuleScope,assertion
isHoistScope,assertion
getClosestHoistScope,accessor
isBlockScope,assertion
createsScope,builder
isScript,assertion
isRoot,assertion
getDepth,accessor
getClosestContainerScope,accessor
isNonArrowFunction,assertion
getBooleanProp,accessor
getFirstChild,accessor
getSlot,accessor
strengthOf,others
getStaticSourceFile,accessor
thisVar,assertion
getParentNode,accessor
isFunctionExpression,assertion
isLocal,assertion
isExtern,assertion
isDeclaredConstantVar,assertion
isInferredConstantVar,assertion
getJSDocInfo,accessor
isDefine,assertion
getRValueOfLValue,accessor
getBestJSDocInfo,accessor
declarationType,others
isParamList,assertion
isDefaultValue,assertion
isImplicit,assertion
isImplicitGoogNamespace,assertion
immutableEnumSet,accessor
getToken,accessor
strongerOf,others
getKind,accessor
getErrorCode,accessor
getFormattedError,accessor
getVisibility,accessor
getJSType,accessor
isLiteralObject,assertion
getString,accessor
getDefiningSource,accessor
isAssign,assertion
getObjectType,accessor
getOverriddenPropertyVisibility,accessor
getEffectiveVisibilityForOverriddenProperty,accessor
getEffectiveVisibilityForNonOverriddenProperty,accessor
getPropertyDefSite,accessor
getImplicitPrototype,accessor
getOwnPropertyJSDocInfo,accessor
getOrDefault,accessor
createCompilerOptions,builder
setOptionsForCompilationLevel,accessor
setTypeBasedOptimizationOptions,accessor
setLanguageIn,accessor
setLanguageOut,accessor
setRewritePolyfills,accessor
setPrettyPrint,accessor
buildExternsFile,builder
addObject,others
test,others
lines,others
assertThat,assertion
getInjected,accessor
setGeneratePseudoNames,accessor
addConsole,others
setLanguage,accessor
setDisambiguateProperties,accessor
setPreserveTypeAnnotations,accessor
testSame,others
addBigInt,others
setPropertyRenaming,accessor
setVariableRenaming,accessor
addArray,others
setEmitUseStrict,accessor
compile,others
containsExactly,others
setCheckTypes,accessor
setGenerateExports,accessor
setExportLocalPropertyDefinitions,accessor
setCheckSymbols,accessor
setRemoveUnusedClassProperties,accessor
setRenamingPolicy,accessor
setStrictModeInput,accessor
setAssumeStrictThis,accessor
setDevMode,accessor
setOptionsForWarningLevel,accessor
getClosureExternsAsSource,accessor
isTrue,assertion
shouldInlineProperties,others
shouldCollapseProperties,others
testES6UnusedClassesAreRemoved,others
getErrors,accessor
getSecondChild,accessor
isNotEmpty,assertion
doesNotContain,others
testES6StaticsAreRemoved,others
hasSize,others
setAmbiguateProperties,accessor
setPropertiesThatMustDisambiguate,accessor
addFunction,others
addExtra,others
setAngularPass,accessor
isEqualTo,assertion
assertWithMessage,assertion
getWarnings,accessor
isNotNull,assertion
getAngularPropertyReservedFirstChars,accessor
getNext,accessor
hasType,others
assertNode,assertion
getFirstFirstChild,accessor
addAlert,others
addMath,others
setRenamePrefixNamespaceAssumeCrossChunkNames,accessor
setAssumeGettersArePure,accessor
addString,others
setIsolatePolyfills,accessor
setForceLibraryInjection,accessor
addJSCompLibraries,others
that,others
addAsyncIterable,others
addClosureExterns,others
setModuleResolutionMode,accessor
setChunkOutputType,accessor
setUp,accessor
enableNormalize,others
testWarning,others
disableCompareJsDoc,assertion
externs,others
srcs,others
expected,others
getLastCompiler,accessor
getJsRoot,accessor
getNameForest,accessor
inExterns,others
getFullName,accessor
getAliasingGets,accessor
getSubclassingGets,accessor
getLocalSets,accessor
getGlobalSets,accessor
getDeleteProps,accessor
getCallGets,accessor
canCollapseOrInline,others
canCollapseOrInlineChildNames,others
testAggressiveInliningOnly,others
setHaveModulesBeenRewritten,accessor
setPropertyCollapseLevel,accessor
getLogger,accessor
fine,others
traverse,others
replaceStringsWithAliases,others
addAliasDeclarationNodes,others
outputStringUsage,others
isProtectedMessage,assertion
isStringLit,assertion
isRegExp,assertion
getOrCreateStringInfo,accessor
getChunk,accessor
getDeepestCommonDependencyInclusive,accessor
shouldReplaceWithAlias,others
replaceStringWithAliasName,others
getVariableName,accessor
var,others
name,others
string,others
srcrefTree,others
addChildToFront,others
insertBefore,accessor
replaceWith,others
encodeStringAsIdentifier,others
toHexString,builder
addChunk,others
forStar,accessor
forBush,accessor
normalizeAllowlist,assertion
trim,others
replaceFirst,others
containWarning,others
formatWarning,accessor
loadAllowlistedJsWarnings,assertion
asCharSource,others
openStream,others
readLines,others
getSourceName,accessor
getLineNumber,accessor
splitToList,assertion
getDescription,accessor
appendAllowlist,assertion
matches,others
getDefaultLevel,accessor
matcher,others
eagerlyResolveToSelf,others
caseAllType,others
identityHashCode,others
compareTo,others
createFactory,builder
getAllKnownTypes,accessor
set,accessor
getIndex,accessor
computeFixedPoint,others
getSubtypeIndices,accessor
or,others
cardinality,others
color,others
generateNextName,others
getNodes,accessor
setString,accessor
update,others
isLoggable,assertion
setAnnotation,accessor
intersects,others
processGetProp,accessor
processCall,others
isNameDeclaration,assertion
createNode,builder
getColor,accessor
processObjectLitOrPattern,others
