Method_Name,Method_Type
downloadPackageFromUrl,others
getPackageUrl,accessor
getPackageManager,accessor
getPackageInfo,accessor
printStackTrace,others
execute,others
installPackage,others
removePackageAndGetResult,accessor
installPackageFromPath,others
commitAllowingStateLoss,others
beginTransaction,others
onStart,others
setErrorContent,accessor
onStop,others
removeCallbacksAndMessages,others
setImageDrawable,accessor
setMessage,accessor
setDefaultBackground,accessor
setButtonText,accessor
setButtonClickListener,accessor
getDimensionPixelSize,accessor
setLayoutParams,accessor
remove,others
getInt,accessor
setupAdapter,accessor
setupFragmentFactory,accessor
setupUi,accessor
enableMainFragmentScaling,others
onSaveInstanceState,others
putInt,others
getSelectedPosition,accessor
getCurrentFragmentItemIndex,accessor
onCreateView,builder
setRootView,accessor
setupEventListeners,accessor
prepareEntranceTransition,others
selectSection,others
selectSectionItem,others
setOnHeaderClickedListener,accessor
getHeadersSupportFragment,accessor
indexOf,others
setSelectedPosition,accessor
onSectionFocused,others
startHeadersTransitionSafe,others
setOnHeaderLongPressedListener,accessor
onSectionLongPressed,others
setOnSearchClickedListener,accessor
startSearch,others
keySet,accessor
setAdapter,accessor
focusOnChildFragment,others
getSelectedHeaderId,accessor
registerFragment,assertion
getMainFragmentRegistry,accessor
setHeadersState,accessor
setHeadersTransitionOnBackEnabled,accessor
getThemeAttr,accessor
setBadgeDrawable,accessor
setBrandColor,accessor
setSearchAffordanceColor,accessor
setHeaderPresenterSelector,accessor
getHeaderResId,accessor
getIconUrl,accessor
getResId,accessor
showErrorIfEmpty,others
replaceMainFragment,others
setField,accessor
getChildFragmentManager,accessor
replace,others
createHeader,builder
removeHeader,others
restoreMainFragment,others
updateCurrentFragment,others
fixInvisibleSearchOrb,assertion
setCurrentFragmentItemIndex,accessor
startHeadersTransition,others
getCurrentFragment,accessor
unmodifiableList,assertion
clearCurrentFragment,others
onResume,others
onViewResumed,others
isShowingTitle,assertion
getVisibility,accessor
setVisibility,accessor
hide,others
isShowing,assertion
getHeaderItem,accessor
initPipMode,others
updateScreenInfo,others
getMediaGroupManager,accessor
getMediaItemManager,accessor
initCategories,others
updateChannelSorting,others
updatePlaylistsStyle,assertion
updateSections,others
showBootDialogs,others
updateRemoteControlService,others
cleanupPinnedItems,others
initCategoryHeaders,others
initPinnedHeaders,others
initCategoryCallbacks,others
initPinnedCallbacks,others
initSettingsSubCategories,accessor
isUploadsOldLookEnabled,assertion
isSettingsSectionEnabled,accessor
getHomeObserve,accessor
getNewsObserve,accessor
getMusicObserve,accessor
getGamingObserve,accessor
getPlaylistsObserve,accessor
getSubscriptionsObserve,accessor
getHistoryObserve,accessor
getSubscribedChannelsUpdateObserve,accessor
getPinnedItems,accessor
removeIf,others
obtainPlaylistObservable,assertion
getSettingItems,accessor
setEnabled,accessor
isBrowseSectionEnabled,assertion
isEnabled,assertion
getBootSectionId,accessor
addSection,others
removeSection,others
getChannelCategorySorting,accessor
getSubscribedChannelsAZObserve,accessor
getSubscribedChannelsLastViewedObserve,accessor
getPlaylistsStyle,accessor
getEmptyPlaylistsObserve,accessor
updateCategoryType,others
setType,accessor
getType,accessor
isChannelUploadsSection,assertion
isUploadsAutoLoadEnabled,assertion
updateMultiGrid,others
hasUploads,others
updateRefreshTime,others
showMenu,others
continueGroup,others
updateSection,others
getSection,accessor
