Method_Name,Method_Type
getBlockBuilder,accessor
getInt,accessor
getIntUnchecked,accessor
getFixedSize,accessor
appendNull,others
hash,others
compare,others
getMaxPageSizeInBytes,accessor
rotateLeft,others
getSuitesTableName,accessor
getQueriesTableName,accessor
inTransaction,others
attach,others
getBenchmarkSuite,accessor
setQueries,accessor
getBenchmarkQueries,accessor
getQuerySet,accessor
addAll,others
getSourceQueries,accessor
ofNullable,others
getLongArrayBlock,accessor
getIntArrayBlock,accessor
getShortArrayBlock,accessor
toIntExact,others
getLong,accessor
getLongUnchecked,accessor
writeLong,others
getHashTables,accessor
getRawKeyBlock,accessor
elements,others
getRawValueBlock,accessor
createMapBlockInternal,builder
getMapIsNull,accessor
calculateLogicalSize,others
copyOfRange,others
buildHashTable,builder
generateAggregation,others
getClassLoader,accessor
generateStateSerializer,others
generateStateFactory,others
getSerializedType,accessor
generateAggregationName,others
createParameterMetadata,builder
generateAccumulatorFactoryBinder,others
compareAndUpdateState,others
getBlock,accessor
compareTo,others
getPosition,accessor
setBlock,accessor
setPosition,accessor
getDouble,accessor
getBoolean,accessor
setNull,accessor
setLong,accessor
invokeExact,others
internalError,others
setDouble,accessor
setBoolean,accessor
typeVariable,others
getStateClass,accessor
getStateSerializer,accessor
generateInputMethod,others
generateCombineMethod,others
generateOutputMethod,others
createInputParameterMetadata,builder
constantType,others
constantBoolean,others
or,others
and,others
not,others
loadConstant,others
ifFalse,others
writeValue,others
getTypedKeyValueHeap,accessor
setTypedKeyValueHeap,accessor
getEstimatedSize,accessor
addMemoryUsage,others
getElementType,accessor
beginBlockEntry,others
getCapacity,accessor
popAll,others
appendTo,others
closeEntry,others
getTypedHeap,accessor
setTypedHeap,accessor
getPath,accessor
isInitialized,assertion
createDictionary,builder
readNestedNoNull,others
readNestedWithNull,others
readNestedPage,others
getRepetitionLevelDecoder,accessor
getDefinitionLevelDecoder,accessor
getValuesDecoder,accessor
readNext,others
remove,others
setRepetitionLevels,accessor
getEnd,accessor
getStart,accessor
setDefinitionLevels,accessor
getDefaultSession,accessor
getTransactionManager,accessor
beginTransactionId,others
getRequiredTransactionId,accessor
getMetadata,accessor
getTableHandle,accessor
getColumnHandles,accessor
getColumnMetadata,accessor
getLocalQuerySplit,accessor
addOperatorContext,others
getPageSourceManager,accessor
withDynamicFilter,others
getSplitManager,accessor
isFinished,assertion
getNextBatch,accessor
getFutureValue,accessor
taskWide,others
put,others
getHashExpression,accessor
translate,others
compileProjection,others
getSqlFunctionProperties,accessor
concat,others
getFilterAndProjectMinOutputPageSize,accessor
getFilterAndProjectMinOutputPageRowCount,accessor
createDrivers,builder
process,others
getTaskStats,accessor
addTaskContext,others
getExecutor,accessor
getScheduler,accessor
listJsonCodec,assertion
elapsedTime,others
getRawInputPositions,accessor
getRawInputDataSizeInBytes,accessor
getOutputPositions,accessor
getOutputDataSizeInBytes,accessor
getWall,accessor
getCpu,accessor
getUser,accessor
readFully,others
nanoTime,others
readInternal,others
toBytes,others
putAll,others
readSmallDiskRanges,assertion
readLargeDiskRanges,assertion
mergeAdjacentDiskRanges,assertion
getLength,accessor
getDiskRangeSlice,accessor
keySet,accessor
load,others
slice,others
wrappedBuffer,others
loadNestedDiskRangeBuffer,assertion
getBuffer,accessor
createWriteChecksumBuilder,builder
createWriteStatisticsBuilder,builder
getFieldCount,accessor
sort,others
comparingLong,others
getStripe,accessor
matches,others
getStatisticsByColumnOrdinal,accessor
splitContainsStripe,others
isStripeIncluded,assertion
getStats,accessor
getNumberOfRows,accessor
wrapWithCacheIfTinyStripes,others
transformValues,others
newOrcAggregatedMemoryContext,others
getIncludedOrcColumns,accessor
createIntermediateKeysMap,builder
checkPermissionsForEncryptedColumns,assertion
getFixedWidthRowSize,accessor
getAsInt,accessor
adjustMaxBatchSize,others
includeOrcColumnsRecursive,others
getFieldTypeIndex,accessor
getOrcTypeKind,accessor
getRequiredFields,accessor
getFieldNames,accessor
