folder,loc
.\code_for_parsing\mxdldev--android-mvp-mvvm-flytour,2378
.\code_for_parsing\mybatis--generator,12367
.\code_for_parsing\mybatis--mybatis-3,19907
.\code_for_parsing\mybatis--spring,3542
.\code_for_parsing\mybatis--spring-boot-starter,1163
.\code_for_parsing\MyCATApache--Mycat-Server,30248
.\code_for_parsing\mzule--ActivityRouter,121
.\code_for_parsing\naman14--Timber,3314
.\code_for_parsing\nanchen2251--CompressHelper,359
.\code_for_parsing\NanoHttpd--nanohttpd,3655
.\code_for_parsing\Naoki2015--CircleDemo,1105
.\code_for_parsing\natario1--CameraView,6433
.\code_for_parsing\nathanmarz--storm,11771
.\code_for_parsing\NationalSecurityAgency--ghidra,574637
.\code_for_parsing\navasmdc--MaterialDesignLibrary,244
.\code_for_parsing\nayuki--QR-Code-generator,728
.\code_for_parsing\neo4j--neo4j,182607
.\code_for_parsing\Netflix--archaius,4894
.\code_for_parsing\Netflix--conductor,13397
.\code_for_parsing\Netflix--eureka,10526
.\code_for_parsing\Netflix--Hystrix,16135
.\code_for_parsing\Netflix--ribbon,7110
.\code_for_parsing\Netflix--SimianArmy,8835
.\code_for_parsing\Netflix--zuul,8357
.\code_for_parsing\netty--netty,103438
.\code_for_parsing\newbee-ltd--newbee-mall,1453
.\code_for_parsing\nex3z--FlowLayout,86
.\code_for_parsing\nextcloud--android,18877
.\code_for_parsing\ngbdf--redis-manager,3064
.\code_for_parsing\nicolasgramlich--AndEngine,19187
.\code_for_parsing\Nightonke--CoCoin,1421
.\code_for_parsing\Nightonke--WoWoViewPager,1922
.\code_for_parsing\niorgai--StatusBarCompat,118
.\code_for_parsing\nisrulz--sensey,539
.\code_for_parsing\NLPchina--elasticsearch-sql,1648
.\code_for_parsing\north2016--T-MVP,681
.\code_for_parsing\nostra13--Android-Universal-Image-Loader,5246
.\code_for_parsing\nutzam--nutz,31897
.\code_for_parsing\nytimes--Store,3216
.\code_for_parsing\oasisfeng--condom,778
.\code_for_parsing\objectbox--objectbox-java,8653
.\code_for_parsing\oblac--jodd,22585
.\code_for_parsing\oblador--react-native-keychain,508
.\code_for_parsing\obsidiandynamics--kafdrop,746
.\code_for_parsing\OCNYang--Android-Animation-Set,190
.\code_for_parsing\ogaclejapan--SmartTabLayout,673
.\code_for_parsing\oguzbilgener--CircularFloatingActionMenu,358
.\code_for_parsing\oldmanpushcart--greys-anatomy,2983
.\code_for_parsing\ongakuer--CircleIndicator,77
.\code_for_parsing\openaphid--android-flip,467
.\code_for_parsing\OpenAPITools--openapi-generator,32943
.\code_for_parsing\openhab--openhab1-addons,275544
.\code_for_parsing\OpenHFT--Chronicle-Queue,6442
.\code_for_parsing\OpenRefine--OpenRefine,30082
.\code_for_parsing\opensearch-project--OpenSearch,335369
.\code_for_parsing\openzipkin--zipkin,9404
.\code_for_parsing\oracle--graal,423325
.\code_for_parsing\orhanobut--dialogplus,294
.\code_for_parsing\orhanobut--hawk,230
.\code_for_parsing\osmdroid--osmdroid,14280
.\code_for_parsing\paascloud--paascloud-master,22632
.\code_for_parsing\pagehelper--Mybatis-PageHelper,4715
.\code_for_parsing\PaperMC--Paper,107
.\code_for_parsing\path--android-priority-jobqueue,881
.\code_for_parsing\Pay-Group--best-pay-sdk,1528
.\code_for_parsing\pchmn--MaterialChipsInput,354
.\code_for_parsing\pedant--sweet-alert-dialog,29
.\code_for_parsing\pedrovgs--AndroidWiFiADB,317
.\code_for_parsing\pedrovgs--DraggablePanel,1560
.\code_for_parsing\pedrovgs--EffectiveAndroidUI,1510
.\code_for_parsing\pentaho--pentaho-kettle,228921
.\code_for_parsing\perwendel--spark,6601
.\code_for_parsing\PhilippC--keepass2android,21509
.\code_for_parsing\PhilJay--MPAndroidChart,9014
.\code_for_parsing\phishman3579--java-algorithms-implementation,6418
.\code_for_parsing\phodal--migration,11
.\code_for_parsing\Piasy--BigImageViewer,976
.\code_for_parsing\pinpoint-apm--pinpoint,111364
.\code_for_parsing\plantuml--plantuml,110412
.\code_for_parsing\pmd--pmd,39999
.\code_for_parsing\pockethub--PocketHub,5076
.\code_for_parsing\Polidea--RxAndroidBle,3034
.\code_for_parsing\PowerJob--PowerJob,6471
.\code_for_parsing\powermock--powermock,18769
.\code_for_parsing\pqpo--SmartCropper,112
.\code_for_parsing\prestodb--presto,124930
.\code_for_parsing\processing--processing,50667
.\code_for_parsing\projectlombok--lombok,13324
.\code_for_parsing\prolificinteractive--material-calendarview,1211
.\code_for_parsing\Prototik--HoloEverywhere,6333
.\code_for_parsing\proxyee-down-org--proxyee-down,276
.\code_for_parsing\pwittchen--ReactiveNetwork,979
.\code_for_parsing\pxb1988--dex2jar,6296
.\code_for_parsing\Qihoo360--ArgusAPM,1363
.\code_for_parsing\Qihoo360--RePlugin,14422
.\code_for_parsing\qiujuer--Genius-Android,3770
.\code_for_parsing\qiurunze123--miaosha,2387
.\code_for_parsing\QNJR-GROUP--EasyTransaction,1551
.\code_for_parsing\qstumn--BadgeView,52
.\code_for_parsing\quarkusio--quarkus,65672
.\code_for_parsing\quartz-scheduler--quartz,30748
.\code_for_parsing\querydsl--querydsl,38155
.\code_for_parsing\questdb--questdb,65230
.\code_for_parsing\qunarcorp--qmq,13556
.\code_for_parsing\r0adkll--Slidr,783
.\code_for_parsing\rabbitmq--rabbitmq-tutorials,459
.\code_for_parsing\race604--FlyRefresh,99
.\code_for_parsing\Ramotion--cardslider-android,75
.\code_for_parsing\Ramotion--folding-cell-android,190
.\code_for_parsing\react-native-camera--react-native-camera,1125
.\code_for_parsing\react-native-image-picker--react-native-image-picker,40
.\code_for_parsing\react-native-share--react-native-share,181
.\code_for_parsing\react-native-svg--react-native-svg,1656
.\code_for_parsing\react-native-video--react-native-video,387
.\code_for_parsing\react-native-webrtc--react-native-webrtc,523
.\code_for_parsing\ReactiveX--RxAndroid,240
.\code_for_parsing\ReactiveX--RxJava,79694
.\code_for_parsing\reactor--reactor-core,42048
.\code_for_parsing\real-logic--aeron,36835
.\code_for_parsing\Red5--red5-server,5752
.\code_for_parsing\redis--jedis,6244
.\code_for_parsing\redisson--redisson,54962
.\code_for_parsing\rengwuxian--RxJavaSamples,26
.\code_for_parsing\requery--requery,10564
.\code_for_parsing\resilience4j--resilience4j,18416
.\code_for_parsing\rest-assured--rest-assured,26354
.\code_for_parsing\rmtheis--android-ocr,1444
.\code_for_parsing\RoaringBitmap--RoaringBitmap,10019
.\code_for_parsing\robinhood--ticker,507
.\code_for_parsing\roboguice--roboguice,19118
.\code_for_parsing\robolectric--robolectric,26247
.\code_for_parsing\RobotiumTech--robotium,3586
.\code_for_parsing\rockerhieu--emojicon,553
.\code_for_parsing\RodneyShag--HackerRank_solutions,5
.\code_for_parsing\romainguy--ViewServer,190
.\code_for_parsing\ronmamo--reflections,1032
.\code_for_parsing\roughike--BottomBar,477
.\code_for_parsing\rstudio--rstudio,63134
.\code_for_parsing\rubenlagus--TelegramBots,4745
.\code_for_parsing\rubensousa--GravitySnapHelper,242
.\code_for_parsing\rubensousa--ViewPagerCards,15
.\code_for_parsing\Rukey7--MvpApp,5752
.\code_for_parsing\ryanhoo--StylishMusicPlayer,884
.\code_for_parsing\s4kibs4mi--java-developer-roadmap,0
.\code_for_parsing\saiwu-bigkoo--Android-ConvenientBanner,234
.\code_for_parsing\SalomonBrys--ANR-WatchDog,121
.\code_for_parsing\sannies--mp4parser,7753
.\code_for_parsing\saulmm--Android-Material-Examples,152
.\code_for_parsing\saulmm--CoordinatorBehaviorExample,0
.\code_for_parsing\saulmm--Material-Movies,959
.\code_for_parsing\Sayi--poi-tl,6533
.\code_for_parsing\scwang90--SmartRefreshLayout,2133
.\code_for_parsing\sd6352051--NiftyDialogEffects,291
.\code_for_parsing\seata--seata,64805
.\code_for_parsing\SeleniumHQ--selenium,37416
.\code_for_parsing\sergejsha--pinned-section-listview,81
.\code_for_parsing\seven332--EhViewer,7906
.\code_for_parsing\shuzheng--zheng,3186
.\code_for_parsing\signalapp--Signal-Server,3217
.\code_for_parsing\simple-android-framework--android_design_patterns_analysis,96
.\code_for_parsing\singwhatiwanna--dynamic-load-apk,578
.\code_for_parsing\siyamed--android-shape-imageview,99
.\code_for_parsing\skyfishjy--android-ripple-background,3
.\code_for_parsing\Skykai521--StickerCamera,5367
.\code_for_parsing\skylot--jadx,3577
.\code_for_parsing\soarcn--BottomSheet,323
.\code_for_parsing\sockeqwe--mosby,9028
.\code_for_parsing\socketio--socket.io-client-java,214
.\code_for_parsing\sofastack--sofa-jarslink,632
.\code_for_parsing\sohutv--cachecloud,22855
.\code_for_parsing\SonarSource--sonarqube,141850
.\code_for_parsing\SpecialCyCi--AndroidResideMenu,208
.\code_for_parsing\spockframework--spock,12688
.\code_for_parsing\spotify--docker-maven-plugin,697
.\code_for_parsing\spring-cloud--spring-cloud-kubernetes,7287
.\code_for_parsing\spring-io--initializr,14620
.\code_for_parsing\spring-projects--spring-authorization-server,8656
.\code_for_parsing\spring-projects--spring-boot,149483
.\code_for_parsing\spring-projects--spring-framework,327240
.\code_for_parsing\spring-projects--spring-loaded,14010
.\code_for_parsing\spring-projects--spring-mvc-showcase,40
.\code_for_parsing\spring-projects--spring-petclinic,933
.\code_for_parsing\spring-projects--spring-security,103514
.\code_for_parsing\springfox--springfox,14301
.\code_for_parsing\springside--springside4,5250
.\code_for_parsing\sqlcipher--android-database-sqlcipher,4076
.\code_for_parsing\sqshq--piggymetrics,166
.\code_for_parsing\square--dagger,2729
.\code_for_parsing\square--flow,1334
.\code_for_parsing\square--javapoet,1263
.\code_for_parsing\square--keywhiz,6593
.\code_for_parsing\square--mortar,1119
.\code_for_parsing\square--otto,816
.\code_for_parsing\square--picasso,968
.\code_for_parsing\square--retrofit,4599
.\code_for_parsing\square--sqlbrite,1013
.\code_for_parsing\square--tape,420
.\code_for_parsing\sshahine--JFoenix,7634
.\code_for_parsing\stanfordnlp--CoreNLP,124468
.\code_for_parsing\steelkiwi--cropiwa,218
.\code_for_parsing\stephanenicolas--robospice,3306
.\code_for_parsing\stfalcon-studio--ChatKit,1306
.\code_for_parsing\stleary--JSON-java,7078
.\code_for_parsing\stormzhang--9GAG,1304
.\code_for_parsing\subhra74--xdm,2277
.\code_for_parsing\SufficientlySecure--html-textview,514
.\code_for_parsing\sunfusheng--StickyHeaderListView,251
.\code_for_parsing\supertokens--supertokens-core,4271
.\code_for_parsing\swagger-api--swagger-core,4466
.\code_for_parsing\Swagger2Markup--swagger2markup,4618
.\code_for_parsing\szerhusenBC--jwt-spring-security-demo,50
.\code_for_parsing\TangoAgency--material-intro-screen,684
.\code_for_parsing\tbruyelle--RxPermissions,113
.\code_for_parsing\tdebatty--java-string-similarity,1647
.\code_for_parsing\team-supercharge--ShimmerLayout,25
.\code_for_parsing\TeamAmaze--AmazeFileManager,9845
.\code_for_parsing\TeamNewPipe--NewPipe,5816
.\code_for_parsing\TechEmpower--FrameworkBenchmarks,1788
.\code_for_parsing\Tencent--APIJSON,3343
.\code_for_parsing\Tencent--MSEC,13820
.\code_for_parsing\Tencent--QMUI_Android,10834
.\code_for_parsing\Tencent--Shadow,5714
.\code_for_parsing\Tencent--tinker,8886
.\code_for_parsing\Tencent--VasDolly,1018
.\code_for_parsing\termux--termux-app,7609
.\code_for_parsing\testcontainers--testcontainers-java,4461
.\code_for_parsing\TheAlgorithms--Java,7130
.\code_for_parsing\theDazzler--droidicon,237
.\code_for_parsing\theonedev--onedev,13082
.\code_for_parsing\thingsboard--thingsboard,38207
.\code_for_parsing\thinkaurelius--titan,15345
.\code_for_parsing\ThirtyDegreesRay--OpenHub,1978
.\code_for_parsing\thymeleaf--thymeleaf,28477
.\code_for_parsing\tiann--understand-plugin-framework,474
.\code_for_parsing\timehop--sticky-headers-recyclerview,206
.\code_for_parsing\timusus--Shuttle,3097
.\code_for_parsing\Todd-Davies--ProgressWheel,109
.\code_for_parsing\TommyLemon--Android-ZBLibrary,7289
.\code_for_parsing\TooTallNate--Java-WebSocket,7272
.\code_for_parsing\traex--RippleEffect,155
.\code_for_parsing\Trinea--android-common,5728
.\code_for_parsing\trojan-gfw--igniter,371
.\code_for_parsing\tronprotocol--java-tron,25136
.\code_for_parsing\twitter-archive--distributedlog,20383
.\code_for_parsing\Twitter4J--Twitter4J,16716
.\code_for_parsing\twowaits--SDE-Interview-Questions,0
.\code_for_parsing\tyrantgit--ExplosionField,48
.\code_for_parsing\uber--NullAway,5260
.\code_for_parsing\uber--RIBs,1468
.\code_for_parsing\udacity--Sunshine-Version-2,937
.\code_for_parsing\umano--AndroidSlidingUpPanel,916
.\code_for_parsing\undertow-io--undertow,45606
.\code_for_parsing\vaticle--typedb,7579
.\code_for_parsing\VaughnVernon--IDDD_Samples,7483
.\code_for_parsing\vespa-engine--vespa,100950
.\code_for_parsing\VictorAlbertos--RxCache,3396
.\code_for_parsing\vinc3m1--RoundedImageView,302
.\code_for_parsing\vipshop--vjtools,5898
.\code_for_parsing\voldemort--voldemort,37231
.\code_for_parsing\w446108264--XhsEmoticonsKeyboard,188
.\code_for_parsing\wasabeef--Blurry,102
.\code_for_parsing\wasabeef--glide-transformations,443
.\code_for_parsing\wasabeef--richeditor-android,56
.\code_for_parsing\weibocom--motan,12169
.\code_for_parsing\WhatsApp--stickers,167
.\code_for_parsing\widdix--aws-cf-templates,76
.\code_for_parsing\wildfirechat--server,16520
.\code_for_parsing\wildfly--wildfly,268919
.\code_for_parsing\williamfiset--Algorithms,8902
.\code_for_parsing\willowtreeapps--spruce-android,2427
.\code_for_parsing\WinterChenS--my-site,1769
.\code_for_parsing\wiremock--wiremock,11459
.\code_for_parsing\woxingxiao--BubbleSeekBar,143
.\code_for_parsing\WritingMinds--ffmpeg-android-java,98
.\code_for_parsing\wuhaoyu1990--MagicCamera,827
.\code_for_parsing\wuyouzhuguli--SpringAll,763
.\code_for_parsing\wxiaoqi--Spring-Cloud-Platform,3340
.\code_for_parsing\wyouflf--xUtils3,2006
.\code_for_parsing\xcltapestry--XCL-Charts,13003
.\code_for_parsing\xfumihiro--ViewInspector,358
.\code_for_parsing\xiaojinzi123--Component,3357
.\code_for_parsing\xingda920813--HelloDaemon,159
.\code_for_parsing\xinghongfei--LookLook,1504
.\code_for_parsing\xkcoding--spring-boot-demo,5704
.\code_for_parsing\xmuSistone--CardSlidePanel,137
.\code_for_parsing\XRecyclerView--XRecyclerView,421
.\code_for_parsing\xtuhcy--gecco,974
.\code_for_parsing\xuexiangjys--XUI,36436
.\code_for_parsing\xuuhaoo--OkSocket,971
.\code_for_parsing\xuxueli--xxl-job,2835
.\code_for_parsing\yacy--yacy_search_server,62773
.\code_for_parsing\YahooArchive--anthelion,15241
.\code_for_parsing\Yalantis--Euclid,141
.\code_for_parsing\Yalantis--GuillotineMenu-Android,26
.\code_for_parsing\Yalantis--Horizon,183
.\code_for_parsing\Yalantis--Phoenix,33
.\code_for_parsing\Yalantis--Side-Menu.Android,23
.\code_for_parsing\yangchong211--LifeHelper,10198
.\code_for_parsing\yangfuhai--ASimpleCache,502
.\code_for_parsing\yanzhenjie--Album,3162
.\code_for_parsing\yanzhenjie--AndPermission,2061
.\code_for_parsing\yanzhenjie--AndServer,7305
.\code_for_parsing\yanzhenjie--NoHttp,5699
.\code_for_parsing\yanzhenjie--SwipeRecyclerView,1921
.\code_for_parsing\yarolegovich--SlidingRootNav,63
.\code_for_parsing\yasserg--crawler4j,2334
.\code_for_parsing\ybq--Android-SpinKit,311
.\code_for_parsing\yhaolpz--FloatWindow,147
.\code_for_parsing\yipianfengye--android-adDialog,414
.\code_for_parsing\yipianfengye--android-zxingLibrary,815
.\code_for_parsing\yixia--VitamioBundle,2215
.\code_for_parsing\YoKeyword--Fragmentation,1449
.\code_for_parsing\youlookwhat--DesignPattern,1107
.\code_for_parsing\youth5201314--banner,559
.\code_for_parsing\youtube--api-samples,1968
.\code_for_parsing\yqritc--RecyclerView-FlexibleDivider,174
.\code_for_parsing\yuanguangxin--LeetCode,17
.\code_for_parsing\yui--yuicompressor,891
.\code_for_parsing\yuliskov--SmartTubeNext,4183
.\code_for_parsing\YunaiV--onemall,14926
.\code_for_parsing\YunaiV--SpringBoot-Labs,2355
.\code_for_parsing\yusugomori--DeepLearning,77
.\code_for_parsing\zaaach--CityPicker,105
.\code_for_parsing\zalando--zalenium,1014
.\code_for_parsing\zaproxy--zaproxy,79135
.\code_for_parsing\zcweng--SwitchButton,267
.\code_for_parsing\zendesk--maxwell,743
.\code_for_parsing\zhangkaitao--es,8231
.\code_for_parsing\zhanglei-workspace--shopping-management-system,1756
.\code_for_parsing\zhaojun1998--zfile,1427
.\code_for_parsing\Zhaoss--WeiXinRecordedDemo,2113
.\code_for_parsing\ZHENFENG13--My-Blog,475
.\code_for_parsing\ZHENFENG13--spring-boot-projects,816
.\code_for_parsing\zhisheng17--flink-learning,3080
.\code_for_parsing\zhou-you--RxEasyHttp,4720
.\code_for_parsing\zhoutaoo--SpringCloud,941
.\code_for_parsing\zhpanvip--BannerViewPager,879
.\code_for_parsing\ZieIony--Carbon,3724
.\code_for_parsing\zmxv--react-native-sound,15
.\code_for_parsing\zouzg--mybatis-generator-gui,505
.\code_for_parsing\zuihou--lamp-cloud,9203
.\code_for_parsing\zwwill--yanxuan-weex-demo,531
.\code_for_parsing\zxbu--webdav-aliyundriver,1953
.\code_for_parsing\ZXZxin--ZXBlog,60
.\code_for_parsing\zzhoujay--RichText,969
