folder,loc
.\code_for_parsing\BaronZ88--MinimalistWeather,774
.\code_for_parsing\barteksc--AndroidPdfViewer,1058
.\code_for_parsing\Baseflow--PhotoView,360
.\code_for_parsing\bastillion-io--Bastillion,3070
.\code_for_parsing\Bearded-Hen--Android-Bootstrap,920
.\code_for_parsing\BelooS--ChipsLayoutManager,923
.\code_for_parsing\ben-manes--caffeine,15953
.\code_for_parsing\bethrobson--Head-First-Design-Patterns,236
.\code_for_parsing\Bigkoo--Android-PickerView,975
.\code_for_parsing\bilibili--DanmakuFlameMaster,1333
.\code_for_parsing\bilibili--MagicaSakura,1025
.\code_for_parsing\bin456789--Unblock163MusicClient-Xposed,44
.\code_for_parsing\bingoogolapple--BGABanner-Android,358
.\code_for_parsing\bingoogolapple--BGASwipeBackLayout-Android,976
.\code_for_parsing\binIoter--GuideView,350
.\code_for_parsing\bisq-network--bisq,52462
.\code_for_parsing\bitcoin-wallet--bitcoin-wallet,3510
.\code_for_parsing\bitcoinj--bitcoinj,31398
.\code_for_parsing\bjmashibing--InternetArchitect,5553
.\code_for_parsing\Blankj--awesome-java-leetcode,55
.\code_for_parsing\bluelinelabs--Conductor,964
.\code_for_parsing\BoltsFramework--Bolts-Android,1036
.\code_for_parsing\brettwooldridge--HikariCP,3538
.\code_for_parsing\brianfrankcooper--YCSB,8714
.\code_for_parsing\brianway--java-learning,5536
.\code_for_parsing\brianway--springmvc-mybatis-learning,387
.\code_for_parsing\bumptech--glide,11783
.\code_for_parsing\burhanrashid52--PhotoEditor,1059
.\code_for_parsing\bytedeco--javacpp,7225
.\code_for_parsing\bytedeco--javacv,4963
.\code_for_parsing\cabaletta--baritone,10311
.\code_for_parsing\CaffeineMC--sodium-fabric,1477
.\code_for_parsing\CainKernel--CainCamera,14275
.\code_for_parsing\CalebFenton--simplify,1315
.\code_for_parsing\CameraKit--blurkit-android,129
.\code_for_parsing\CameraKit--camerakit-android,407
.\code_for_parsing\caoxinyu--RedisClient,400
.\code_for_parsing\careercup--ctci,296
.\code_for_parsing\careercup--CtCI-6th-Edition,423
.\code_for_parsing\CellularPrivacy--Android-IMSI-Catcher-Detector,2958
.\code_for_parsing\ChadCSong--ShineButton,61
.\code_for_parsing\changmingxie--tcc-transaction,732
.\code_for_parsing\charles2gan--GDA-android-reversing-Tool,48
.\code_for_parsing\CheckChe0803--flink-recommandSystem-demo,357
.\code_for_parsing\checkstyle--checkstyle,115985
.\code_for_parsing\chennaione--sugar,411
.\code_for_parsing\chenupt--SpringIndicator,137
.\code_for_parsing\chewiebug--GCViewer,4115
.\code_for_parsing\Chora10--Cknife,448
.\code_for_parsing\chrisbanes--Android-PullToRefresh,1535
.\code_for_parsing\chrisjenx--Calligraphy,569
.\code_for_parsing\ChrisRM--material-theme-jetbrains,9764
.\code_for_parsing\citerus--dddsample-core,1550
.\code_for_parsing\cjlin1--libsvm,162
.\code_for_parsing\Clans--FloatingActionButton,129
.\code_for_parsing\Cleveroad--SlidingTutorial-Android,1192
.\code_for_parsing\clojure--clojure,11954
.\code_for_parsing\code-mc--material-icon-lib,236
.\code_for_parsing\code-troopers--android-betterpickers,3471
.\code_for_parsing\codecentric--spring-boot-admin,5950
.\code_for_parsing\codeestX--GeekNews,1734
.\code_for_parsing\codingapi--tx-lcn,2634
.\code_for_parsing\CodingDocs--springboot-guide,307
.\code_for_parsing\commonsguy--cw-omnibus,16785
.\code_for_parsing\coobird--thumbnailator,17720
.\code_for_parsing\CrawlScript--WebCollector,3478
.\code_for_parsing\crazyandcoder--citypicker,2280
.\code_for_parsing\crazycodeboy--TakePhoto,770
.\code_for_parsing\crossoverJie--cim,1789
.\code_for_parsing\crossoverJie--JCSprout,1404
.\code_for_parsing\cryptomator--cryptomator,1197
